# 2026-09-13 attribution-trailer correction; commit trees, authors, dates and parent order preserved.
# Existing source-revision and binary-checksum provenance remains unchanged. See HISTORY_REWRITE_20260913.md.
old	new
388650db8648e47b68541bf0ac9196f10b48420e	388650db8648e47b68541bf0ac9196f10b48420e
38a15845f5d1c6b359b319f069f8cef3848d384a	38a15845f5d1c6b359b319f069f8cef3848d384a
38bf5ef282901af4b172329e89868afdc66e9fd5	38bf5ef282901af4b172329e89868afdc66e9fd5
39b7512cc135ac47b00932845d77a6083b09b197	39b7512cc135ac47b00932845d77a6083b09b197
3a29a3789d62095f288ed29ac6baf8060188b794	3a29a3789d62095f288ed29ac6baf8060188b794
3aa9cc1c613e8f66fc1cb82cd1ba1d40b8f81a97	3aa9cc1c613e8f66fc1cb82cd1ba1d40b8f81a97
3aedd177cd7e34000dd18a127f821e2784fe0f76	f0485944a61e50fe04eb1d4a0996def1e5c1579e
3b55bd45af7a6d8e4509556712f580c609870fd8	3b55bd45af7a6d8e4509556712f580c609870fd8
3ba5dd3de0aa260a25cd8e70296baf4c0bc9946b	3ba5dd3de0aa260a25cd8e70296baf4c0bc9946b
3bcd01ff3ad7955c096c93fe47ff11e7b3f62585	3bcd01ff3ad7955c096c93fe47ff11e7b3f62585
3c035cb7f44f40bc9ed2bebd2c72a8a153f52a48	2a60202b3cb63743533e3727b51e44474b762f3f
3c9a6c5183709ffb1fab39b24c55b34d1c6c35e9	3c9a6c5183709ffb1fab39b24c55b34d1c6c35e9
3ce24141def1707aa1f9770f5757b8e7ae39be34	3ce24141def1707aa1f9770f5757b8e7ae39be34
3d9a13155fbb99b1f2cfcd793683097816b5d228	3d9a13155fbb99b1f2cfcd793683097816b5d228
3da88920b19b3faed1bf9f92db525d9b18a889aa	3da88920b19b3faed1bf9f92db525d9b18a889aa
3e13f0e0d769b57705ef73bb2f3e620a89c153ca	3e13f0e0d769b57705ef73bb2f3e620a89c153ca
3e5b6171d0a210f038a54e0226616a05fdc3b972	3e5b6171d0a210f038a54e0226616a05fdc3b972
3e80208c8fc00b10187d0785e7a0c8a3ae7e4f53	3e80208c8fc00b10187d0785e7a0c8a3ae7e4f53
3ea11d4fbeb6a03a75c69aea6c5182fb1cdfd648	3ea11d4fbeb6a03a75c69aea6c5182fb1cdfd648
3ecd890465447571c7dc8dccfa050ce7ba57155e	3ecd890465447571c7dc8dccfa050ce7ba57155e
3f6f86f583427c11318244f4d4f545816afb4169	f1a3944244494d9b93b138d46c3efb5d03147bb2
3fe5651d62250da700949756d46c37c2382a05e5	3fe5651d62250da700949756d46c37c2382a05e5
3ff43093114d4d1148759719a6d1e21ee959d3fb	3ff43093114d4d1148759719a6d1e21ee959d3fb
4024369b1d53905245c3f3e37eb1510b5e7c9dbb	4024369b1d53905245c3f3e37eb1510b5e7c9dbb
40448f9c2465a7152221e571781d912d10bb84e6	40448f9c2465a7152221e571781d912d10bb84e6
40ab0d30610806f447257597cf2613bd97caa627	f3ffa759d45f67b6655fef920b4dc35d79da0373
40ca05af624241f72e5b65f59bc2d47cd5071e68	9ff43cc779ff43c22f6efa660913a29c6f016f21
411e025a56b81b3fd39c94ca3e879183e655c216	411e025a56b81b3fd39c94ca3e879183e655c216
41ea2d0568ab110a20eccf59755a860bc17150f8	41ea2d0568ab110a20eccf59755a860bc17150f8
41ed862bba00f8467088f2249f6881ecab75367b	41ed862bba00f8467088f2249f6881ecab75367b
41f684a741be5830e8434ee19ef4c794f3343203	41f684a741be5830e8434ee19ef4c794f3343203
4203478898d48ca79e6693da0c2288aaade7e49f	4203478898d48ca79e6693da0c2288aaade7e49f
4237c1c0d352c50ec571f07134086660b7030126	4237c1c0d352c50ec571f07134086660b7030126
42a1dbb4fffd2873ec1150b25ddd0353e51a1d7b	42a1dbb4fffd2873ec1150b25ddd0353e51a1d7b
42ed8c274d1e060f6a4f4c0ac458d4a66fe7dce9	42ed8c274d1e060f6a4f4c0ac458d4a66fe7dce9
4313baac007a9c63304d8dbf34d39fd5ebea069c	ec66fe8503288d34d92a70ccfc1459cb4956c938
4316fba00665fb73401e2219d31c16aa7d43128c	4316fba00665fb73401e2219d31c16aa7d43128c
43ddcdfafdba0ce1be872d1a62a32cde8e34ed8e	43ddcdfafdba0ce1be872d1a62a32cde8e34ed8e
43eb51f7d10af0eb8bc3e4f423d59183ec820690	43eb51f7d10af0eb8bc3e4f423d59183ec820690
450e04df614e7a5d941ffbf706941da69c5b9456	450e04df614e7a5d941ffbf706941da69c5b9456
4531386fd61f66abeb9ae58f25395c01f6655699	4531386fd61f66abeb9ae58f25395c01f6655699
455f7af5070a62d6abf959cd8afa26516221f593	455f7af5070a62d6abf959cd8afa26516221f593
45de7b400d0d0117ae5915e30b9444319ea51ec6	45de7b400d0d0117ae5915e30b9444319ea51ec6
4607241671ae6c37f8cbccde9691297a4a2cda77	4607241671ae6c37f8cbccde9691297a4a2cda77
461c10d66f0941f96ef1394c31f2c9c9d933776b	461c10d66f0941f96ef1394c31f2c9c9d933776b
4673c364875d25262e5c4b039d767065a75fe0e8	4673c364875d25262e5c4b039d767065a75fe0e8
4741ebd315bfffe58b0e524ee6bd830a208db1e8	4741ebd315bfffe58b0e524ee6bd830a208db1e8
478eb198422408a50111ab95e4c25492905f484d	478eb198422408a50111ab95e4c25492905f484d
47d213edd8caf58b7b4a9095f915a182bfb79a02	47d213edd8caf58b7b4a9095f915a182bfb79a02
47dfb47dd8bd4c66cbc6be3b15086a278b2e060c	47dfb47dd8bd4c66cbc6be3b15086a278b2e060c
480a054ae523ff25b6c8dafbdccc1958d27a774d	480a054ae523ff25b6c8dafbdccc1958d27a774d
480fa351760953be0fdfe46692cfeb9d969e1505	480fa351760953be0fdfe46692cfeb9d969e1505
491e13c587c7e9b30ff689276e6753efd55b57d9	491e13c587c7e9b30ff689276e6753efd55b57d9
4a00cfa560a37e19cac6465b72c952fc212a5cb9	4a00cfa560a37e19cac6465b72c952fc212a5cb9
4ad9bf79239c703a747fc2d0c9215661431adb45	4ad9bf79239c703a747fc2d0c9215661431adb45
4af36173001c6fb736e7896c840bbf579a23e20b	4af36173001c6fb736e7896c840bbf579a23e20b
4b2aba6cfdfc5bf64d25fad2250dc189ca3537d4	4b2aba6cfdfc5bf64d25fad2250dc189ca3537d4
4b9733f578e6cf2dbcb7e1e28f4ba7c3c91011d5	4b9733f578e6cf2dbcb7e1e28f4ba7c3c91011d5
4bdf8f885c610e3cfab2b55ebc5a484904c6d36d	4bdf8f885c610e3cfab2b55ebc5a484904c6d36d
4bed9c054413cf1e064a529bd23349c598e50c9d	4bed9c054413cf1e064a529bd23349c598e50c9d
4c63cd306d19430e0b59393fed95560e04955d1b	4c63cd306d19430e0b59393fed95560e04955d1b
4caa2ddabae8cead8f35efc71656d17aabd28c01	4caa2ddabae8cead8f35efc71656d17aabd28c01
4e11850a416e3a20bde87e10ebd8ff01ec6fa29d	4e11850a416e3a20bde87e10ebd8ff01ec6fa29d
4e401aefbfeaf8b206cdd9e7bb2de4b8a4cfe658	4e401aefbfeaf8b206cdd9e7bb2de4b8a4cfe658
4f65f25f3eb88ad2ba0be46bbc012a9084703fc0	4f65f25f3eb88ad2ba0be46bbc012a9084703fc0
4fc3f1ac0be641edb11c6eb36e3be6d4c13e3ae0	4fc3f1ac0be641edb11c6eb36e3be6d4c13e3ae0
4ffcc6aa51c5452971f67e6c26791463bc662f0f	4ffcc6aa51c5452971f67e6c26791463bc662f0f
505e2bacbf309d57387ddeb2113e68fa1f124af3	505e2bacbf309d57387ddeb2113e68fa1f124af3
5060f2d4b7cd098d8d0e213b078ce62e210a0a90	5060f2d4b7cd098d8d0e213b078ce62e210a0a90
50e87713148063448ac504dada4e2dcf7f731018	50e87713148063448ac504dada4e2dcf7f731018
5129e6fcef92fd15190353ee25a7ea2d99d7882a	5129e6fcef92fd15190353ee25a7ea2d99d7882a
5172d3bd64047857d85edc529598105b161e9273	5172d3bd64047857d85edc529598105b161e9273
519ae2c337b0b9b2efe4f8011eed89120f2c6c05	6d6427ddcbc9050dd40779f7d07f13959dfd23dc
51d51df0d771100483af91f9e55b1a25228e0db7	51d51df0d771100483af91f9e55b1a25228e0db7
52ba4a0357624fa36b7dc367f607c41a29eb6d8e	52ba4a0357624fa36b7dc367f607c41a29eb6d8e
532bcf88c5591a64d4ee3c8044f5fb85ae929fb3	532bcf88c5591a64d4ee3c8044f5fb85ae929fb3
537e5fdc6c8440cd7173e7adc7ff0ba13d1b087a	537e5fdc6c8440cd7173e7adc7ff0ba13d1b087a
53a9a9f1236f4c1633a85f728a119b53059c5f1d	53a9a9f1236f4c1633a85f728a119b53059c5f1d
